tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
FOROUCWBDGYYOS-NSHDSACASA-N	CN[C@@H](C)CO>>CN[C@@H](C)CBr	7	CN[C@@H](C)CO>>CN[C@@H](C)CBr
FOROUCWBDGYYOS-NSHDSACASA-N	CO.O=Cc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1>>COC(=O)c1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1	7	CO.O=Cc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1>>COC(=O)c1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1
FOROUCWBDGYYOS-NSHDSACASA-N	CN[C@@H](C)CBr.O=c1nc(Cl)cc(Cl)[nH]1>>CN[C@@H](C)Cn1c(Cl)cc(Cl)nc1=O	8	CN[C@@H](C)CBr.O=c1nc(Cl)cc(Cl)[nH]1>>CN[C@@H](C)Cn1c(Cl)cc(Cl)nc1=O
FOROUCWBDGYYOS-NSHDSACASA-N	COC(=O)c1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1>>OCc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1	8	COC(=O)c1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1>>OCc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1
FOROUCWBDGYYOS-NSHDSACASA-N	COC(=O)c1cc(F)c(F)c(F)c1.Oc1ccnc(C(F)(F)F)c1>>COC(=O)c1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1	8	COC(=O)c1cc(F)c(F)c(F)c1.Oc1ccnc(C(F)(F)F)c1>>COC(=O)c1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1
FOROUCWBDGYYOS-NSHDSACASA-N	CN[C@@H](C)Cn1c(Cl)cc(Cl)nc1=O>>C[C@H]1Cn2c(cc(Cl)nc2=O)N1C	8	CN[C@@H](C)Cn1c(Cl)cc(Cl)nc1=O>>C[C@H]1Cn2c(cc(Cl)nc2=O)N1C
FOROUCWBDGYYOS-NSHDSACASA-N	C[C@H]1Cn2c(cc(Cl)nc2=O)N1C.OCc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1>>C[C@H]1Cn2c(cc(OCc3cc(F)c(Oc4ccnc(C(F)(F)F)c4)c(F)c3)nc2=O)N1C	8	C[C@H]1Cn2c(cc(Cl)nc2=O)N1C.OCc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1>>C[C@H]1Cn2c(cc(OCc3cc(F)c(Oc4ccnc(C(F)(F)F)c4)c(F)c3)nc2=O)N1C
FOROUCWBDGYYOS-NSHDSACASA-N	CN[C@@H](C)CO>>CN[C@@H](C)CBr	8	CN[C@@H](C)CO>>CN[C@@H](C)CBr
FOROUCWBDGYYOS-NSHDSACASA-N	CN[C@@H](C)CBr.O=c1nc(Cl)cc(Cl)[nH]1>>CN[C@@H](C)Cn1c(Cl)cc(Cl)nc1=O	9	CN[C@@H](C)CBr.O=c1nc(Cl)cc(Cl)[nH]1>>CN[C@@H](C)Cn1c(Cl)cc(Cl)nc1=O
FOROUCWBDGYYOS-NSHDSACASA-N	OCc1cc(F)c(F)c(F)c1.Oc1ccnc(C(F)(F)F)c1>>OCc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1	9	OCc1cc(F)c(F)c(F)c1.Oc1ccnc(C(F)(F)F)c1>>OCc1cc(F)c(Oc2ccnc(C(F)(F)F)c2)c(F)c1
